PixelX,PixelY,RobotX,RobotY
79,68,110,110
130,69,110,245
180,70,110,390
231,70,110,530
282,68,110,670
79,138,255,110
130,136,255,245
179,136,255,390
232,137,255,530
282,137,255,665
79,204,390,110
129,202,390,250
181,203,390,385
233,203,390,530
283,203,390,665
79,270,525,110
130,269,525,245
181,270,525,385
232,269,525,525
284,268,525,665
79,335,665,110
130,335,665,245
181,336,665,385
232,336,665,525
283,337,665,665
79,403,805,110
131,404,805,245
182,404,805,385
232,404,805,525
284,404,805,665
80,471,955,110
130,471,955,245
182,471,955,385
232,471,955,525
285,471,955,665
81,538,1095,110
132,537,1095,245
182,538,1095,385
234,539,1095,525
285,539,1095,665
81,605,1240,110
131,606,1240,245
183,606,1240,390
234,606,1240,530
285,606,1240,665
82,672,1385,110
131,672,1385,250
183,673,1385,390
234,674,1385,530
286,674,1385,670
81,739,1520,110
131,740,1520,250
183,742,1520,390
234,742,1520,530
286,743,1520,670
